protein,carb,fat,Item
0.4,11.8,0.1,apple
1.9,1.9,19.5,avocado
1.2,23.2,0.3,bananas
20.9,0.0,7.9,beef_steak
13.0,19.0,11.0,big_mac
15.5,2.9,68.3,brazil_nuts
10.5,37.0,3.2,bread
1.0,0.0,81.0,butter
25.0,0.1,34.4,cheese
6.4,28.2,22.7,cheesecake
5.7,58.7,29.3,cookies
7.0,84.0,0.9,cornflakes
12.5,0.0,10.8,eggs
17.0,7.0,20.0,fried_chicken
3.0,36.0,13.0,fries
3.8,19.4,10.2,hot_chocolate
20.9,5.1,38.3,pepperoni
12.5,30.0,11.0,pizza
10.1,27.3,24.2,porkpie
1.7,16.1,0.3,potatoes
6.9,74.0,2.8,rice
26.1,0.3,5.8,roast_chicken
0.0,95.1,0.0,sugar
25.6,0.0,0.5,tuna_steak
0.0,0.0,0.0,water
